out:sDA,out:ID,Link_E1c
0.134921,E1c-0.6-S-0.8-0_O-0.8-5123-Yes,https://i.postimg.cc/fRQ0ty0Z/E1c-0-6-S-0-8-0-O-0-8-5123-Yes-daylight.png
0.857143,E1c-1.4-S-0-15_O-0-6028-No,https://i.postimg.cc/fW6vCw9W/E1c-1-4-S-0-15-O-0-6028-No-daylight.png
0.769841,E1c-1.2-S-0-15_O-0-6028-No,https://i.postimg.cc/WtLtkYz8/E1c-1-2-S-0-15-O-0-6028-No-daylight.png
0.674603,E1c-1.0-S-0-15_O-0-6028-No,https://i.postimg.cc/Hkt4TXPH/E1c-1-S-0-15-O-0-6028-No-daylight.png
0.579365,E1c-0.8-S-0-15_O-0-6028-No,https://i.postimg.cc/QM0ByqYk/E1c-0-8-S-0-15-O-0-6028-No-daylight.png
0.47619,E1c-0.6-S-0-15_O-0-6028-No,https://i.postimg.cc/7ZrTGhTV/E1c-0-6-S-0-15-O-0-6028-No-daylight.png
0.722222,E1c-1.4-S-0-15_O-0-5123-No,https://i.postimg.cc/Y2JxRpWk/E1c-1-4-S-0-15-O-0-5123-No-daylight.png
0.650794,E1c-1.2-S-0-15_O-0-5123-No,https://i.postimg.cc/tJVY7GqM/E1c-1-2-S-0-15-O-0-5123-No-daylight.png
0.595238,E1c-1.0-S-0-15_O-0-5123-No,https://i.postimg.cc/mgSNTC6s/E1c-1-S-0-15-O-0-5123-No-daylight.png
0.492063,E1c-0.8-S-0-15_O-0-5123-No,https://i.postimg.cc/cJXKbckB/E1c-0-8-S-0-15-O-0-5123-No-daylight.png
0.380953,E1c-0.6-S-0-15_O-0-5123-No,https://i.postimg.cc/P5n8pJ81/E1c-0-6-S-0-15-O-0-5123-No-daylight.png
0.84127,E1c-1.4-S-0-15_O-0-6028-Yes,https://i.postimg.cc/kMkysnbX/E1c-1-4-S-0-15-O-0-6028-Yes-daylight.png
0.761905,E1c-1.2-S-0-15_O-0-6028-Yes,https://i.postimg.cc/qgVg3DqQ/E1c-1-2-S-0-15-O-0-6028-Yes-daylight.png
0.674603,E1c-1.0-S-0-15_O-0-6028-Yes,https://i.postimg.cc/Qdqkj1nj/E1c-1-S-0-15-O-0-6028-Yes-daylight.png
0.587302,E1c-0.8-S-0-15_O-0-6028-Yes,https://i.postimg.cc/g0NwTKt4/E1c-0-8-S-0-15-O-0-6028-Yes-daylight.png
0.468254,E1c-0.6-S-0-15_O-0-6028-Yes,https://i.postimg.cc/T3vWL1Wc/E1c-0-6-S-0-15-O-0-6028-Yes-daylight.png
0.714286,E1c-1.4-S-0-15_O-0-5123-Yes,https://i.postimg.cc/XNTgLVCn/E1c-1-4-S-0-15-O-0-5123-Yes-daylight.png
0.65873,E1c-1.2-S-0-15_O-0-5123-Yes,https://i.postimg.cc/Vvbd5PfT/E1c-1-2-S-0-15-O-0-5123-Yes-daylight.png
